"tag","date","id","species","sample","enc","section","lagSection","moveDir","distMoved","len","wt","river","year","season","seasonStr"
"1bf1304443",2004-06-29,34,"bkt",38,1,5,4,1,1,146,30.9,"IL",2004,2,"Summer"
"1bf130648d",2003-04-30,35,"bkt",33,1,9,8,1,1,95,10.1,"IL",2003,1,"Spring"
"1bf1886cac",2003-04-30,36,"bkt",33,1,9,NA,0,0,66,3,"IL",2003,1,"Spring"
"1bf18886b7",2003-04-30,37,"bkt",33,1,9,9,0,0,74,5.4,"IL",2003,1,"Spring"
"1bf18886b7",2003-06-20,37,"bkt",34,0,9,9,0,0,88.6666666666667,NA,"IL",2003,2,"Summer"
"1bf18886b7",2003-09-12,37,"bkt",35,0,9,9,0,0,103.333333333333,NA,"IL",2003,3,"Autumn"
"1bf18886b7",2003-12-31,37,"bkt",36,1,9,9,0,0,118,16.7,"IL",2003,4,"Winter"
"1bf188885b",2003-04-30,38,"bkt",33,1,6,4,1,2,85,7,"IL",2003,1,"Spring"
"1bf188885b",2003-07-02,38,"bkt",34,1,5,6,-1,-1,108,13.7,"IL",2003,2,"Summer"
"1bf1889ca9",2003-04-30,39,"bkt",33,1,6,NA,0,0,70,5.2,"IL",2003,1,"Spring"
"1bf1889ca9",2003-07-02,39,"bkt",34,1,6,6,0,0,97,10.5,"IL",2003,2,"Summer"
"1bf1889ca9",2003-10-13,39,"bkt",35,1,6,6,0,0,108,13.9,"IL",2003,3,"Autumn"
"1bf1889ca9",2003-12-31,39,"bkt",36,1,6,6,0,0,113,14.6,"IL",2003,4,"Winter"
"1bf1889ca9",2004-04-22,39,"bkt",37,1,6,6,0,0,117,16.5,"IL",2004,1,"Spring"
"1bf1889d14",2003-04-30,40,"bkt",33,1,11,NA,0,0,60,2.3,"IL",2003,1,"Spring"
"1bf1889d14",2003-07-04,40,"bkt",34,1,15,11,1,4,80,5,"IL",2003,2,"Summer"
"1bf1889d14",2003-09-12,40,"bkt",35,0,15,15,0,0,88.5,NA,"IL",2003,3,"Autumn"
"1bf1889d14",2004-01-02,40,"bkt",36,1,14,15,-1,-1,97,7.9,"IL",2003,4,"Winter"
"1bf1889d14",2004-04-08,40,"bkt",37,0,14,14,0,0,105,NA,"IL",2004,1,"Spring"
"1bf1889d14",2004-06-30,40,"bkt",38,1,14,14,0,0,113,14.6,"IL",2004,2,"Summer"
"1bf1889d1f",2003-04-30,41,"bkt",33,1,5,NA,0,0,65,2.9,"IL",2003,1,"Spring"
"1bf1889d1f",2003-06-20,41,"bkt",34,0,5,5,0,0,88.5,NA,"IL",2003,2,"Summer"
"1bf1889d1f",2003-10-13,41,"bkt",35,1,5,5,0,0,112,14.2,"IL",2003,3,"Autumn"
"1bf1889d1f",2003-12-12,41,"bkt",36,0,5,5,0,0,120,NA,"IL",2003,4,"Winter"
"1bf1889d1f",2004-04-22,41,"bkt",37,1,5,5,0,0,128,20.2,"IL",2004,1,"Spring"
"1bf1889d1f",2004-06-29,41,"bkt",38,1,5,5,0,0,148,33.9,"IL",2004,2,"Summer"
"1bf1889d37",2003-04-30,42,"bkt",33,1,6,NA,0,0,74,4.6,"IL",2003,1,"Spring"
"1bf1889d37",2003-07-02,42,"bkt",34,1,6,6,0,0,102,11.3,"IL",2003,2,"Summer"
"1bf1889d4d",2003-04-30,43,"bkt",33,1,4,NA,0,0,111,15.2,"IL",2003,1,"Spring"
"1bf1889d4d",2003-07-02,43,"bkt",34,1,4,4,0,0,132,25.8,"IL",2003,2,"Summer"
"1bf1889d77",2003-04-30,44,"bkt",33,1,2,NA,0,0,62,2.5,"IL",2003,1,"Spring"
"1bf1889d77",2003-07-02,44,"bkt",34,1,3,2,1,1,87,6.7,"IL",2003,2,"Summer"
"1bf1889d77",2003-10-13,44,"bkt",35,1,6,3,1,3,95,9.4,"IL",2003,3,"Autumn"
"1bf1889d77",2003-12-31,44,"bkt",36,1,6,6,0,0,100,8.4,"IL",2003,4,"Winter"
"1bf1889ed8",2003-04-30,45,"bkt",33,1,5,NA,0,0,68,3.4,"IL",2003,1,"Spring"
"1bf1889ed8",2003-06-20,45,"bkt",34,0,5,5,0,0,87.5,NA,"IL",2003,2,"Summer"
"1bf1889ed8",2003-10-13,45,"bkt",35,1,5,5,0,0,107,14.4,"IL",2003,3,"Autumn"
"1bf1889ed8",2003-12-12,45,"bkt",36,0,5,5,0,0,113,NA,"IL",2003,4,"Winter"
"1bf1889ed8",2004-04-22,45,"bkt",37,1,5,5,0,0,119,17.8,"IL",2004,1,"Spring"
"1bf188a019",2003-04-30,46,"bkt",33,1,10,NA,0,0,70,3.9,"IL",2003,1,"Spring"
"1bf188a019",2003-06-20,46,"bkt",34,0,10,10,0,0,87.5,NA,"IL",2003,2,"Summer"
"1bf188a019",2003-10-14,46,"bkt",35,1,15,10,1,5,105,10.6,"IL",2003,3,"Autumn"
"1bf188a019",2004-01-02,46,"bkt",36,1,15,15,0,0,116,13.8,"IL",2003,4,"Winter"
"1bf188a01a",2003-04-30,47,"bkt",33,1,4,NA,0,0,126,19.6,"IL",2003,1,"Spring"
"1bf188a01a",2003-07-02,47,"bkt",34,1,5,4,1,1,150,35.5,"IL",2003,2,"Summer"
"1bf188a01a",2003-09-12,47,"bkt",35,0,5,5,0,0,164,NA,"IL",2003,3,"Autumn"
"1bf188a01a",2003-12-31,47,"bkt",36,1,4,5,-1,-1,178,51,"IL",2003,4,"Winter"
"1bf188a079",2003-04-30,48,"bkt",33,1,2,NA,0,0,63,2.8,"IL",2003,1,"Spring"
"1bf188a079",2003-07-02,48,"bkt",34,1,2,2,0,0,83,6.3,"IL",2003,2,"Summer"
"1bf188a087",2003-04-30,49,"bkt",33,1,11,11,0,0,159,39.6,"IL",2003,1,"Spring"
"1bf188a087",2003-07-03,49,"bkt",34,1,11,11,0,0,174,63.6,"IL",2003,2,"Summer"
"1bf188a0e2",2003-05-01,50,"bkt",33,1,12,13,-1,-1,108,12.6,"IL",2003,1,"Spring"
"1bf188a0e2",2003-07-04,50,"bkt",34,1,13,12,1,1,125,22.1,"IL",2003,2,"Summer"
"1bf188a0ef",2003-04-30,51,"bkt",33,1,10,11,-1,-1,98,10.5,"IL",2003,1,"Spring"
"1bf188a154",2003-04-30,52,"bkt",33,1,6,6,0,0,135,25.6,"IL",2003,1,"Spring"
"1bf188a154",2003-07-03,52,"bkt",34,1,7,6,1,1,162,45.5,"IL",2003,2,"Summer"
"1bf188a1ab",2003-04-30,53,"bkt",33,1,3,NA,0,0,71,3.8,"IL",2003,1,"Spring"
"1bf188a1ab",2003-07-02,53,"bkt",34,1,4,3,1,1,100,11,"IL",2003,2,"Summer"
"1bf188a277",2003-05-01,54,"bkt",33,1,15,15,0,0,132,25.2,"IL",2003,1,"Spring"
"1bf188a2eb",2003-04-30,55,"bkt",33,1,10,NA,0,0,81,5.6,"IL",2003,1,"Spring"
"1bf188a2eb",2003-07-03,55,"bkt",34,1,12,10,1,2,103,10.7,"IL",2003,2,"Summer"
"1bf188a369",2003-04-30,56,"bkt",33,1,8,NA,0,0,63,2.6,"IL",2003,1,"Spring"
"1bf188a3ee",2003-05-01,57,"bkt",33,1,14,14,0,0,78,5.3,"IL",2003,1,"Spring"
"1bf188a3ee",2003-07-04,57,"bkt",34,1,14,14,0,0,103,12.4,"IL",2003,2,"Summer"
"1bf188a3ee",2003-10-14,57,"bkt",35,1,14,14,0,0,122,20.8,"IL",2003,3,"Autumn"
"1bf188a3ee",2004-01-02,57,"bkt",36,1,14,14,0,0,130,22.2,"IL",2003,4,"Winter"
"1bf188a3ee",2004-04-22,57,"bkt",37,1,14,14,0,0,131,22.9,"IL",2004,1,"Spring"
"1bf188a3ee",2004-06-30,57,"bkt",38,1,14,14,0,0,147,32.3,"IL",2004,2,"Summer"
"1bf188a3ee",2004-10-13,57,"bkt",39,1,15,14,1,1,150,32,"IL",2004,3,"Autumn"
"1bf188a54e",2003-04-30,58,"bkt",33,1,10,NA,0,0,61,3.1,"IL",2003,1,"Spring"
"1bf188a54e",2003-07-03,58,"bkt",34,1,11,10,1,1,81,6.2,"IL",2003,2,"Summer"
"1bf188a54e",2003-10-14,58,"bkt",35,1,15,11,1,4,95,10.1,"IL",2003,3,"Autumn"
"1bf188a54e",2004-01-02,58,"bkt",36,1,15,15,0,0,100,10.4,"IL",2003,4,"Winter"
"1bf188a54e",2004-04-08,58,"bkt",37,0,15,15,0,0,107,NA,"IL",2004,1,"Spring"
"1bf188a54e",2004-06-30,58,"bkt",38,1,15,15,0,0,114,16.7,"IL",2004,2,"Summer"
"1bf188a61e",2003-04-30,59,"bkt",33,1,10,NA,0,0,70,4.1,"IL",2003,1,"Spring"
"1bf188a61e",2003-07-04,59,"bkt",34,1,14,10,1,4,91,7.5,"IL",2003,2,"Summer"
"1bf188a61e",2003-10-14,59,"bkt",35,1,15,14,1,1,102,10.4,"IL",2003,3,"Autumn"
"1bf188a61e",2004-01-02,59,"bkt",36,1,15,15,0,0,107,10.6,"IL",2003,4,"Winter"
"1bf188a61e",2004-04-22,59,"bkt",37,1,15,15,0,0,111,12.9,"IL",2004,1,"Spring"
"1bf188a61e",2004-06-30,59,"bkt",38,1,15,15,0,0,128,20.8,"IL",2004,2,"Summer"
"1bf188a732",2003-04-30,60,"bkt",33,1,11,NA,0,0,63,3.1,"IL",2003,1,"Spring"
"1bf188a732",2003-06-20,60,"bkt",34,0,11,11,0,0,74.3333333333333,NA,"IL",2003,2,"Summer"
"1bf188a732",2003-09-12,60,"bkt",35,0,11,11,0,0,85.6666666666667,NA,"IL",2003,3,"Autumn"
"1bf188a732",2004-01-02,60,"bkt",36,1,11,11,0,0,97,8.8,"IL",2003,4,"Winter"
"1bf188a795",2003-04-30,61,"bkt",33,1,5,NA,0,0,65,3,"IL",2003,1,"Spring"
"1bf188a795",2003-07-02,61,"bkt",34,1,4,5,-1,-1,90,7.9,"IL",2003,2,"Summer"
"1bf188a82b",2003-04-30,62,"bkt",33,1,5,5,0,0,108,13.1,"IL",2003,1,"Spring"
"1bf188a891",2003-05-01,63,"bkt",33,1,12,12,0,0,158,39,"IL",2003,1,"Spring"
"1bf188a92d",2003-04-30,64,"bkt",33,1,3,NA,0,0,65,3,"IL",2003,1,"Spring"
"1bf188a92d",2003-07-02,64,"bkt",34,1,3,3,0,0,95,9.6,"IL",2003,2,"Summer"
"1bf188a9a8",2003-04-30,65,"bkt",33,1,6,NA,0,0,61,2.4,"IL",2003,1,"Spring"
"1bf188a9a8",2003-07-02,65,"bkt",34,1,6,6,0,0,79,5.4,"IL",2003,2,"Summer"
"1bf188a9a8",2003-10-13,65,"bkt",35,1,6,6,0,0,102,10.7,"IL",2003,3,"Autumn"
"1bf188a9a8",2003-12-31,65,"bkt",36,1,6,6,0,0,108,11.5,"IL",2003,4,"Winter"
"1bf188a9a8",2004-04-22,65,"bkt",37,1,6,6,0,0,112,14,"IL",2004,1,"Spring"
"1bf188a9a8",2004-06-29,65,"bkt",38,1,6,6,0,0,129,26.2,"IL",2004,2,"Summer"
"1bf188a9c8",2003-04-16,66,"bkt",33,0,4,4,0,0,92.3333333333333,NA,"IL",2003,1,"Spring"
"1bf188a9c8",2003-07-02,66,"bkt",34,1,4,4,0,0,107,13.4,"IL",2003,2,"Summer"
"1bf188a9c8",2003-10-13,66,"bkt",35,1,5,4,1,1,122,20.4,"IL",2003,3,"Autumn"
"1bf188aa04",2003-05-01,67,"bkt",33,1,13,13,0,0,113,14.7,"IL",2003,1,"Spring"
"1bf188ab12",2003-04-30,68,"bkt",33,1,11,NA,0,0,63,2.7,"IL",2003,1,"Spring"
"1bf188ab12",2003-07-04,68,"bkt",34,1,14,11,1,3,89,7.1,"IL",2003,2,"Summer"
"1bf188acea",2003-04-30,69,"bkt",33,1,5,NA,0,0,70,3.8,"IL",2003,1,"Spring"
"1bf188b047",2003-04-30,70,"bkt",33,1,4,NA,0,0,60,2.5,"IL",2003,1,"Spring"
"1bf188b047",2003-07-02,70,"bkt",34,1,4,4,0,0,85,7.1,"IL",2003,2,"Summer"
"1bf188b047",2003-10-13,70,"bkt",35,1,5,4,1,1,93,9.1,"IL",2003,3,"Autumn"
"1bf188b100",2003-05-01,71,"bkt",33,1,14,15,-1,-1,100,10.2,"IL",2003,1,"Spring"
"1bf188b142",2003-05-01,72,"bkt",33,1,12,NA,0,0,70,3.6,"IL",2003,1,"Spring"
"1bf188b142",2003-07-03,72,"bkt",34,1,12,12,0,0,91,8.1,"IL",2003,2,"Summer"
"1bf188b142",2003-10-14,72,"bkt",35,1,12,12,0,0,108,13.8,"IL",2003,3,"Autumn"
"1bf188b1b6",2003-04-30,73,"bkt",33,1,9,NA,0,0,74,4.5,"IL",2003,1,"Spring"
"1bf188b1b6",2003-07-03,73,"bkt",34,1,9,9,0,0,89,7.4,"IL",2003,2,"Summer"
"1bf188b1b6",2003-09-12,73,"bkt",35,0,9,9,0,0,95,NA,"IL",2003,3,"Autumn"
"1bf188b1b6",2003-12-12,73,"bkt",36,0,9,9,0,0,101,NA,"IL",2003,4,"Winter"
"1bf188b1b6",2004-04-08,73,"bkt",37,0,9,9,0,0,107,NA,"IL",2004,1,"Spring"
"1bf188b1b6",2004-06-30,73,"bkt",38,1,10,9,1,1,113,14.4,"IL",2004,2,"Summer"
"1bf188b202",2003-04-30,74,"bkt",33,1,7,NA,0,0,73,4,"IL",2003,1,"Spring"
"1bf188b2d1",2003-04-30,75,"bkt",33,1,6,NA,0,0,81,5.8,"IL",2003,1,"Spring"
"1bf188b2d1",2003-06-20,75,"bkt",34,0,6,6,0,0,96.5,NA,"IL",2003,2,"Summer"
"1bf188b2d1",2003-10-13,75,"bkt",35,1,8,6,1,2,112,16.5,"IL",2003,3,"Autumn"
"1bf188b35a",2003-04-30,76,"bkt",33,1,7,NA,0,0,91,8,"IL",2003,1,"Spring"
"1bf188b35a",2003-07-03,76,"bkt",34,1,7,7,0,0,115,15.7,"IL",2003,2,"Summer"
"1bf188b35a",2003-10-14,76,"bkt",35,1,13,7,1,6,124,19.9,"IL",2003,3,"Autumn"
"1bf188b35a",2003-12-31,76,"bkt",36,1,10,13,-1,-3,131,20.1,"IL",2003,4,"Winter"
"1bf188b35a",2004-04-22,76,"bkt",37,1,7,10,-1,-3,139,26.5,"IL",2004,1,"Spring"
"1bf188b35a",2004-06-30,76,"bkt",38,1,10,7,1,3,163,49.4,"IL",2004,2,"Summer"
"1bf188b57e",2003-04-30,77,"bkt",33,1,4,NA,0,0,61,2.6,"IL",2003,1,"Spring"
"1bf188b57e",2003-07-02,77,"bkt",34,1,4,4,0,0,86,7.1,"IL",2003,2,"Summer"
"1bf188b57e",2003-10-13,77,"bkt",35,1,5,4,1,1,95,8.8,"IL",2003,3,"Autumn"
"1bf188b57e",2003-12-31,77,"bkt",36,1,5,5,0,0,105,10.6,"IL",2003,4,"Winter"
"1bf188b999",2003-04-30,78,"bkt",33,1,10,NA,0,0,78,5.9,"IL",2003,1,"Spring"
"1bf188b999",2003-07-03,78,"bkt",34,1,10,10,0,0,101,12.3,"IL",2003,2,"Summer"
"1bf188b999",2003-10-14,78,"bkt",35,1,11,10,1,1,114,17.2,"IL",2003,3,"Autumn"
